titulo|autores|isbn|calificacion_promedio
The Great Gatsby|F. Scott Fitzgerald|0140620184|3.91
Limitations (Kindle County Legal Thriller  #7)|Scott Turow|0312426453|3.33
Reversible Errors (Kindle County  #6)|Scott Turow|0446612626|3.84
The Laws Of Our Fathers (Kindle County  #4)|Scott Turow|0446604402|3.75
Personal Injuries (Kindle County  #5)|Scott Turow|0446608602|3.85
One L: The Turbulent True Story of a First Year at Harvard Law School|Scott Turow|0446673781|3.66
Ultimate Punishment|Scott Turow|031242373X|3.82
The Cider House Rules|John Irving-Grover Gardner|073660989X|4.12
The Physician (Cole Family Trilogy  #1)|Noah Gordon|0751503894|4.37
Matters of Choice (Cole Family Trilogy  #3)|Noah Gordon-Mirjana Cvekić-Ljiljana Cvekić|0451187261|3.37
The Rabbi|Noah Gordon|0449214540|3.67
The Last Jew|Noah Gordon-Mirjana Cvekić-Ljiljana Cvekić|0312300530|4.08
The Frequencies|Noah Eli Gordon|0974016713|4.32
Chamán (Familia Cole  #2)|Noah Gordon-Elsa Mateo|849654642X|4.11
The Talking Horse and the Sad Girl and the Village Under the Sea: Poems|Mark Haddon|0307275698|3.3
Ocean Star Express|Mark Haddon-Peter   Sutton|000664600X|3.5
El curioso incidente del perro a medianoche|Mark Haddon-Patricia Antón de Vez|8478889108|3.87
The Beautiful and Damned|F. Scott Fitzgerald|0140180575|3.75
The Damned and the Beautiful: American Youth in the 1920's|Paula S. Fass|0195024923|3.76
This Side of Paradise (Paradise  #1)|Steven L. Layne|1589802543|3.74
Trimalchio|F. Scott Fitzgerald-James L.W. West III|0521890470|4.42
Milarepa|Éric-Emmanuel Schmitt|2226093524|3.19
The Bookshop|Penelope Fitzgerald|0006543545|3.32
Souvenir of Canada 2|Douglas Coupland|1553650433|3.83
Souvenir of Canada|Douglas Coupland|1550549170|3.85
The Illustrated Art of War|Sun Tzu-Samuel B. Griffith|019518999X|3.97
World War 3 Illustrated: Confrontational Comics|Scott   Cunningham-Peter Kuper-Seth Tobocman-Sabrina Jones|1568580398|3.85
Master Index: An Illustrated Guide|Time-Life Books|0809447967|3.47
A New Hope: The Illustrated Screenplay (Star Wars  Episode IV)|George Lucas|0345420691|4.19
Soul of the Sword: An Illustrated History of Weaponry and Warfare from Prehistory to the Present|Robert L. O'Connell-John    Batchelor|0684844079|4.08
Star Wars Episode 1: The Phantom Menace Illustrated Screenplay|George Lucas|0345431103|3.92
Warfare in the Classical World: An Illustrated Encyclopedia of Weapons  Warriors  and Warfare in the Ancient Civilizations of Greece and Rome|John Warry-Phillip de ste. Croix|0806127945|4.13
The Winter of Our Discontent|John Steinbeck-Susan Shillinglaw|0143039482|3.99
Cannery Row|John Steinbeck|014200068X|4.03
The Grapes of Wrath and Other Writings 1936–1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies|John Steinbeck-Elaine Steinbeck-Robert DeMott|1883011159|4.41
Tortilla Flat|John Steinbeck|0141185112|3.83
The Log from the Sea of Cortez|John Steinbeck-Richard Astro|0141186070|3.84
The Illustrated Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time|Dava Sobel-William J.H. Andrewes-William J. H. Andrewes|0802775934|4.09
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time|Dava Sobel-Neil Armstrong|0802714625|3.96
Latitude and Longitude (Rookie Read-About Geography)|Rebecca Aberg-Jeanne Clidas|0516277650|3.58
The Quest for Longitude: The Proceedings of the Longitude Symposium  Harvard University  Cambridge  Massachusetts  November 4-6  1993|William Andrewes|0964432900|4.67
1421: The Year China Discovered America|Gavin Menzies|006054094X|3.59
Dr. Desirable|Kristi Gold|0373764219|3.24
Mayflower: A Story of Courage  Community  and War|Nathaniel Philbrick|0670037605|3.87
Before the Mayflower: A History of Black America|Lerone Bennett Jr.|0874850916|4.43
Before The Mayflower A History of Black America|Lerone Bennett Jr.|0140072144|4.43
Shalimar the Clown|Salman Rushdie|0679783482|3.87
Midnight's Children|Salman Rushdie|0330267140|3.99
The Satanic Verses|Salman Rushdie|0670825379|3.71
Haroun and the Sea of Stories (Khalifa Brothers  #1)|Salman Rushdie-Paul Birkbeck|0670886580|4.01
Fury|Salman Rushdie|0099421860|3.29
Code Complete|Steve McConnell|0735619670|4.29
How to Live on 24 Hours a Day|Arnold Bennett|1406922900|3.66
Dale Carnegie's Lifetime Plan for Success: How to Win Friends and Influence People & How to Stop Worrying and Start Living|Dale Carnegie|1578660394|4.16
How to Stop Worrying and Start Living|Dale Carnegie|0671035975|4.11
How To Enjoy Your Life And Your Job|Dale Carnegie-Dorothy Carnegie|0671708260|3.95
The Leader In You: How to Win Friends  Influence People and Succeed in a Changing World|Dale Carnegie-Stuart R. Levine-Michael A. Crom|0671519980|4.09
The Decoration of the Torre de la Parada (Corpus Rubenianum Ludwig Burchard  Part IX) (Corpus Rubenianum Ludwig Burchard)|Svetlana Alpers|0199210152|5.0
The Drama of the Gifted Child: The Search for the True Self|Alice  Miller-Ruth Ward|0465016901|4.09
The Drama of the Gifted Child: The Search for the True Self|Alice  Miller|046501691X|4.09
Who Moved My Cheese?|Spencer Johnson-Kenneth H. Blanchard|0091883768|3.78
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant|W. Chan Kim-Renée Mauborgne|1591396190|3.89
Heart of Darkness|Joseph Conrad|1892295490|3.42
Heart of Darkness|Joseph Conrad-Paul B. Armstrong|0393926362|3.42
Heart of Darkness|Joseph Conrad|1580495753|3.42
Heart of Darkness|Joseph Conrad-A.N. Wilson|184391008X|3.42
Heart of Darkness|Joseph Conrad|0141182431|3.42
Heart of Darkness and Other Tales|Joseph Conrad-Cedric Watts|0192801724|3.58
Heart of Darkness|Joseph Conrad|159224646X|3.42
Teacher Man (Frank McCourt  #3)|Frank McCourt|0743243781|3.75
'Tis A Memoir (Frank McCourt  #2)|Frank McCourt|0006551815|3.68
Angela's Ashes|Frank McCourt|0007718721|4.1
Three Men in a Boat (Three Men  #1)|Jerome K. Jerome|0140621334|3.89
Three Men in a Boat: To Say Nothing of the Dog|Jerome K. Jerome|0486451100|3.89
Three Men in a Boat: To Say Nothing of the Dog|Jerome K. Jerome|1904919529|3.89
Three Men in a Boat|Jerome K. Jerome|0141441216|3.89
Three Men in a Boat and Three Men on the Bummel|Jerome K. Jerome-Jeremy Lewis|0140437509|4.09
Kafka on the Shore|Haruki Murakami-Philip Gabriel|1400079276|4.13
海邊的卡夫卡 上|Haruki Murakami-村上春樹-賴明珠|9571338400|4.07
The Brothers Karamazov|Fyodor Dostoyevsky-Constance Garnett-Manuel Komroff-John Bayley|0451527348|4.32
The Brothers Karamazov|Fyodor Dostoyevsky-Richard Pevear-Larissa Volokhonsky|0374528373|4.32
The Brothers Karamazov|Fyodor Dostoyevsky-David McDuff|0140449248|4.32
The Brothers Karamazov|Fyodor Dostoyevsky-Richard Pevear-Larissa Volokhonsky|0679729259|4.32
The Brothers Karamazov|Fyodor Dostoyevsky-Constance Garnett|0486437914|4.32
The Brothers Karamazov|Fyodor Dostoyevsky-Simon Vance-Thomas R. Beyer Jr.|1596440791|4.32
The Brothers Karamazov|Fyodor Dostoyevsky-Constance Garnett-Maire Jaanus|159308045X|4.32
CliffsNotes on Dostoevsky's The Brothers Karamazov|James Lamar Roberts-Gary Carey|0764538136|3.5
Hungry Planet|Peter Menzel-Faith D'Aluisio|1580086810|4.44
The Very Hungry Caterpillar|Eric Carle|0399226907|4.29
The Little Mouse  the Red Ripe Strawberry and the Big Hungry Bear (Child's Play Library)|Don    Wood|0859533301|4.31
One Hundred Hungry Ants|Elinor J. Pinczes-Bonnie Mackain|0395971233|4.05
The Very Hungry Caterpillar|Eric Carle|0241003008|4.29
The Hungry Tide|Amitav Ghosh|061871166X|3.94
Feeding the Hungry Heart: The Experience of Compulsive Eating|Geneen Roth|0452270839|3.97
What Is the What|Dave Eggers|1932416641|4.16
A Heartbreaking Work of Staggering Genius|Dave Eggers|0375725784|3.68
You Shall Know Our Velocity!|Dave Eggers|1400033543|3.63
How We Are Hungry|Dave Eggers|1400095565|3.75
How We Are Hungry: Stories|Dave Eggers|1932416137|3.75
Merry Christmas  Stinky Face|Lisa McCourt-Cyd Moore|0439635772|3.99
Love You Until--|Lisa McCourt-Cyd Moore|0809166585|4.67
Year of Wonders|Geraldine Brooks|0142001430|4.01
The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate the Major Developmental Milestones|Tanya Remer Altmann-American Academy of Pediatrics|0553804766|3.49
The Seven-Year-Old Wonder Book|Isabel Wyatt-Alyson MacNeill|0863155278|4.21
Wolves of the Calla (The Dark Tower  #5)|Stephen King-Bernie Wrightson|141651693X|4.19
A Man Without a Country|Kurt Vonnegut-Daniel Simon|081297736X|4.08
Breakfast of Champions|Kurt Vonnegut|0385334206|4.08
Slaughterhouse-Five|Kurt Vonnegut|0385333846|4.07
The Sirens of Titan|Kurt Vonnegut|1857988841|4.16
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations)|Harold Bloom-Terry Southern-David H. Goldsmith-James Lundquist-Lawrence R. Broer-Peter J. Reed-Loree Rackstraw-William S. Doxey-Jerome Klinkowitz-Richard Giannone-John L. Simons-Leonard Mustazza-Zoltan Ab di-Nagy-Peter Freese-Wendy B. Faris|0791071685|4.35
Bagombo Snuff Box|Kurt Vonnegut|0099282968|3.72
Welcome to the Monkey House|Kurt Vonnegut|0385333501|4.14
God Bless You  Dr. Kevorkian|Kurt Vonnegut|0743422007|3.84
Jailbird|Kurt Vonnegut|0385333900|3.81
Fates Worse Than Death|Kurt Vonnegut|0425134067|3.86
The Red Tent|Anita Diamant|0312353766|4.17
Inside the Red Tent|Sandra Hack Polaski|0827230281|3.94
Anita Diamant's The Red Tent: A Reader's Guide|Ann Finding|0826415741|4.13
La tienda roja|Anita Diamant|8478883975|4.17
La Jeune fille à la perle|Tracy Chevalier-Marie-Odile Fortier-Masek|2070417948|3.87
Iron Kingdom: The Rise and Downfall of Prussia  1600–1947|Christopher   Clark|0674023854|4.14
Downfall (Dragonlance: Dhamon Saga  #1)|Jean Rabe|0786918144|3.68
Berlin: The Downfall  1945|Antony Beevor|0670886955|4.28
El azul de la virgen|Tracy Chevalier|8466313591|3.66
Saturday|Ian McEwan|1400076196|3.63
I Love Saturdays y domingos|Alma Flor Ada-Elivia Savadier|068987409X|4.03
The Pillars of Creation (Sword of Truth  #7)|Terry Goodkind|0765340747|3.68
The Pillars of the Earth (Kingsbridge  #1)|Ken Follett|0451207149|4.31
A Dangerous Fortune|Ken Follett|0330332651|4.03
The Man From St. Petersburg|Ken Follett|0451208706|3.87
Night Over Water|Ken Follett|0451211472|3.81
The Truth about the Drug Companies: How They Deceive Us and What to Do about It|Marcia Angell|0375760946|3.94
On Wings of Eagles|Ken Follett|0451213092|3.93
La verdad acerca de las Industrias Farmacéuticas: cómo nos engaña y qué hacer al respecto|Marcia Angell|9580493510|3.94
Jackdaws|Ken Follett|0451219597|3.95
Whiteout|Ken Follett-David Tennant|1405052716|3.56
Jackdaws|Ken Follett|0451207521|3.95
Battle Angel Alita - Last Order : Angel's Vision  Vol. 08|Yukito Kishiro|1421508656|4.1
Battle Angel Alita - Last Order : Guilty Angel  Vol. 07|Yukito Kishiro|1421504332|4.12
Gunnm Last Order  Tome 01|Yukito Kishiro|2723439801|4.06
Your Inner Physician and You: CranioSacral Therapy and SomatoEmotional Release|John E. Upledger|1556432461|4.09
My Life in France|Julia Child-Alex Prud'Homme|1400043468|4.17
A Short History Of Nearly Everything|Bill Bryson|096573840X|4.2
A Short History of Nearly Everything (Illustrated Edition)|Bill Bryson|0385663552|4.2
The Drawing of the Three (The Dark Tower  #2)|Stephen King|0451210859|4.23
The Waste Lands (The Dark Tower  #3)|Stephen King|034082977X|4.24
Wizard and Glass (The Dark Tower  #4)|Stephen King-Dave McKean|0340829788|4.25
The Gunslinger (The Dark Tower  #1)|Stephen King|0340829753|3.96
The Handmaid's Tale|Margaret Atwood-Valerie Martin|0307264602|4.09
The Handmaid's Tale|Margaret Atwood|0435124099|4.09
The Catcher in the Rye|J.D. Salinger|0316769177|3.8
The Catcher In The Rye|J.D. Salinger|0553134329|3.8
The Catcher in the Rye - Barron's Book Notes|Barron's|0812034074|3.72
Franny and Zooey|J.D. Salinger|0316769029|3.98
Raise High the Roof Beam  Carpenters & Seymour: An Introduction|J.D. Salinger|0316766941|4.12
For Esme—With Love and Squalor  and Other Stories|J.D. Salinger|0140237534|4.19
The Doors of Perception & Heaven and Hell|Aldous Huxley|0060595183|3.94
Brave New World|Aldous Huxley-Felisberto Albuquerque|0060929871|3.98
Island|Aldous Huxley|0060085495|3.85
The Perennial Philosophy|Aldous Huxley|006057058X|4.23
Huxley and God: Essays on Religious Experience|Aldous Huxley-Huston Smith-Jacqueline Hazard Bridgeman|0824522524|4.31
Moksha: Writings on Psychedelics & the Visionary Experience|Aldous Huxley-Michael Horowitz-Cynthia Palmer|0892817585|4.17
Point Counter Point|Aldous Huxley|1564781313|3.85
After Many a Summer Dies the Swan|Aldous Huxley|1566630185|3.75
The Flame Trees of Thika: Memories of an African Childhood|Elspeth Huxley|0141183780|4.12
The Devil Wears Prada (The Devil Wears Prada  #1)|Lauren Weisberger|0307275558|3.73
Arundhati Roy's The God of Small Things: A Reader's Guide|Julie Mullaney|0826453279|4.0
A Separate Peace|John Knowles|0743253973|3.57
The Corrections|Jonathan Franzen|0374701849|3.79
Black and Blue|Anna Quindlen|0385333137|3.88
A Virtuous Woman|Kaye Gibbons|0375703063|3.68
Here on Earth|Alice Hoffman|0425169693|3.69
The Heart of a Woman|Maya Angelou|0375500723|4.2
The Deep End of the Ocean (Cappadora Family  #1)|Jacquelyn Mitchard|0140286276|3.86
The Heart Is a Lonely Hunter|Carson McCullers|0618526412|3.97
Cane River|Lalita Tademy|0446678457|4.05
Where the Heart Is|Billie Letts|0446672211|4.01
Oprah Winfrey|Katherine E. Krohn|0822550008|3.82
Drowning Ruth|Christina Schwarz|0345439104|3.74
Fall on Your Knees|Ann-Marie MacDonald|0743466527|3.96
What Looks Like Crazy on an Ordinary Day (Idlewild  #1)|Pearl Cleage|038079487X|3.72
While I Was Gone|Sue Miller|0345443284|3.68
Mother of Pearl|Melinda Haynes|0671774670|3.68
The Rapture of Canaan|Sheri Reynolds|0425162443|3.81
Songs in Ordinary Time|Mary McGarry Morris|0140244824|3.7
Breath  Eyes  Memory|Edwidge Danticat|037570504X|3.87
The Book of Ruth|Jane Hamilton|0385265700|3.84
Open House|Elizabeth Berg|0345435168|3.7
The Pilot's Wife|Anita Shreve|0316601950|3.52
The Reader|Bernhard Schlink-Carol Brown Janeway|0375707972|3.75
Tara Road|Maeve Binchy|0440235596|3.9
A Lesson Before Dying|Ernest J. Gaines|0375702709|3.94
Paradise|Toni Morrison|0452280397|3.79
One Hundred Years of Solitude|Gabriel García Márquez|060630052X|4.06
The Treasure Hunt: A Little Bill Book|Bill Cosby-Varnette P. Honeywood|0590956183|3.29
She's Come Undone|Wally Lamb|0671021001|3.86
We Were the Mulvaneys|Joyce Carol Oates|0452282829|3.72
A Map of the World|Jane Hamilton-Frank  Muller-C.J. Critt|0385720106|3.8
Daughter of Fortune|Isabel Allende-Margaret Sayers Peden|006019491X|3.9
The Meanest Thing To Say|Bill Cosby-Varnette P. Honeywood-Varnette Hon Eywood|0590956167|3.53
The Good Earth|Pearl S. Buck|0743272935|3.98
A Fine Balance|Rohinton Mistry|140003065X|4.36
The Best Way to Play: A Little Bill Book|Bill Cosby-Varnette P. Honeywood-Varnette Honeywood|0590956175|3.48
White Oleander|Janet Fitch|0316284955|3.95
Cry  the Beloved Country|Alan Paton|0743262174|3.89
One Hundred Years of Solitude|Gabriel García Márquez-Gregory Rabassa|0060740450|4.06
Song of Solomon|Toni Morrison|0452260116|4.04
One Hundred Years of Solitude|Gabriel García Márquez-Gregory Rabassa|1417735988|4.06
One Hundred Years of Solitude|Gabriel García Márquez|0606349154|4.06
The Bluest Eye|Toni Morrison|0452282195|4.0
The Poisonwood Bible|Barbara Kingsolver|0060930535|4.05
East of Eden|John Steinbeck|1417704748|4.37
Vergeef me|Wally Lamb-Inge de Heer|9022530078|4.18
A sud delle nuvole|Wally Lamb|8878189650|3.86
The Crusader: Ronald Reagan and the Fall of Communism|Paul Kengor|0061136905|4.2
Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader|Dinesh D'Souza|0684848236|4.12
Ethan Frome|Edith Wharton|0142437808|3.38
Ethan Frome and Summer|Edith Wharton-Elizabeth Strout|0375757287|3.86
A Son at the Front|Edith Wharton-Shari Benstock|087580568X|3.5
Collected Stories  1891-1910|Edith Wharton-Maureen Howard|1883011930|4.3
A Backward Glance|Edith Wharton-Louis Auchincloss|0684847558|3.77
Edith Wharton's The Age of Innocence (Bloom's Modern Critical Interpretations)|Harold Bloom-Edith Wharton|0791081265|3.71
Complete Works of Oscar Wilde|Oscar Wilde-Merlin Holland|0007144350|4.45
Oscar Wilde|Richard Ellmann|0394759842|4.24
An Ideal Husband|Oscar Wilde|048641423X|4.04
The Picture of Dorian Gray|Oscar Wilde-Jeffrey Eugenides|0375751513|4.07
De Profundis and Other Writings|Oscar Wilde-Hesketh Pearson|014043089X|4.21
Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations)|Ravi Zacharias|1590528603|3.93
Travels with Charley: In Search of America|John Steinbeck|0142000701|4.08
Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men|John Steinbeck-Elaine Steinbeck-Robert DeMott|1883011019|4.37
The Pearl|John Steinbeck|0142000698|3.45
The Life and Times of Scrooge McDuck|Don Rosa|0911903968|4.66
The Life and Times of Scrooge McDuck Companion|Don Rosa|1888472405|4.47
The Last Christmas of Ebenezer Scrooge|Marvin Kaye|1592241336|4.13
Uncle Scrooge #359|Don Rosa-Carl Barks-Lars Jensen-Pat McGreal-Carol McGreal-Frank Jonker-Romano Scarpa-Mau Heymans-José Massaroli|1888472421|4.0
A Christmas Story|Jean Shepherd|0767916220|4.09
The Christmas Story|Jane Werner Watson-Eloise Wilkin|0307989135|4.42
A Christmas Carol|Charles Dickens-P.J. Lynch|0763631205|4.04
A Christmas Carol|Charles Dickens|1580495796|4.04
The Annotated Christmas Carol|Charles Dickens-Michael Patrick Hearn-John Leech|0393051587|4.04
Charles Dickens' A Christmas Carol|Jane Parker Resnick-Christian Birmingham|0762408480|4.13
Little Dorrit|Charles Dickens-Hablot Knight Browne-David Gates|037575914X|3.98
A Christmas Carol and Other Christmas Writings|Charles Dickens-Michael Slater|0140439056|4.13
The Life of Our Lord: Written for His Children During the Years 1846 to 1849|Charles Dickens|0684865378|4.0
Hard Times|Charles Dickens|0321107217|3.52
The Innocent Man: Murder and Injustice in a Small Town|John Grisham|0385517238|3.81
The Last Juror|John Grisham|0385339682|3.86
Bleachers|John Grisham|0099468190|3.47
The Testament|John Grisham-Jorma-Veikko Sappinen|0440234743|3.85
The Rainmaker|John Grisham|0385339607|3.93
The Partner|John Grisham|0385339100|3.91
The Street Lawyer|John Grisham|0385339097|3.83
The Summons|John Grisham|0385339593|3.69
The Brethren|John Grisham|0385339674|3.73
The Chamber|John Grisham|0385339666|3.78
The King of Torts|John Grisham|0385339658|3.67
Skipping Christmas|John Grisham|0099481685|3.48
The Firm|John Grisham-Robin Waterfield|0582418275|4.0
The Client|John Grisham|0385339089|3.99
A Painted House|John Grisham|0385337930|3.69
The Summons / The Brethren|John Grisham-Michael Beck-Frank  Muller|0739342770|3.99
Dragonfly in Amber (Outlander  #2)|Diana Gabaldon|0385335970|4.32
The Great Book of Amber (The Chronicles of Amber  #1-10)|Roger Zelazny|0380809060|4.3
Forever Amber|Kathleen Winsor|0141009829|3.99
Amber Brown Is Green With Envy|Paula Danziger-Tony Ross|0439071712|3.96
Amber Brown Is Not a Crayon|Paula Danziger-Tony Ross|0142406198|3.84
Amber and Ashes (Dragonlance: The Dark Disciple  #1)|Margaret Weis|0786937424|3.86
The Waste Lands (The Dark Tower  #3)|Stephen King-Ned Dameron|0747411875|4.24
The Dragon's Eye (Dragonology Chronicles  #1)|Dugald A. Steer-Douglas Carrel|0763628107|3.82
Dragon's Eye (Stonefort  #1)|James A. Hetley|0441013724|3.42
Eye of the Dragon (Fighting Fantasy: Reissues 1  #21)|Ian Livingstone|1840466421|3.51
An Eye For The Dragon: Southeast Asia Observed  1954-1986 (New Edition)|Dennis Bloodworth|997165217X|4.11
Dragon's Eye|Christopher Stasheff-William R. Forstchen-Nick DiChario-S.N. Lewitt-Bill Fawcett-Mike Resnick-Mickey Zucker Reichert-S.M. Stirling-Diane Duane-Jody Lynn Nye-Roland J. Green-Teresa Patterson-Judith R. Conly|0671876090|3.46
The Stand|Stephen King|1568495714|4.34
"Stand Back  Said the Elephant  ""I'm Going to Sneeze!"""|Patricia Thomas-Wallace Tripp|0688093388|4.39
Here I Stand: A Life of Martin Luther|Roland H. Bainton|0452011469|4.08
Rebel Stand (Enemy Lines  #2) (Star Wars: The New Jedi Order  #12)|Aaron Allston|0345428684|3.84
The Stand: Das letzte Gefecht|Stephen King-Joachim Körber|3404134117|4.34
'Salem's Lot|Stephen King-Jerry N. Uelsmann|0385516487|4.25
'Salem's Lot|Stephen King-Ron McLarty|0743536967|4.01
'Salem's Lot|Stephen King|0965772411|4.01
The Shining / Salems Lot / Night Shift / Carrie|Stephen King|0905712609|4.67
Carrie / 'Salem's Lot / The Shining|Stephen King|0517219026|4.53
'Salem's Lot|Stephen King|0451150651|4.01
'Salem's Lot|Stephen King|0451092317|4.01
'Salem's Lot|Stephen King|0340770538|4.01
El misterio de Salem's Lot|Stephen King-Marta I. Guastavino|8497931025|4.01
Orientalism|Edward W. Said|0141187425|4.09
Dangerous Knowledge: Orientalism and Its Discontents|Robert Irwin|158567835X|3.7
Orientalism History  Theory  and the Arts|John M. MacKenzie|0719045789|2.95
Defending the West: A Critique of Edward Said's Orientalism|Ibn Warraq|1591024846|3.62
Interpreter of Maladies|Jhumpa Lahiri|0618101365|4.14
The Faiths of the Founding Fathers|David L. Holmes|0195300920|3.86
Sisterhood of the Traveling Pants / Second Summer of the Sisterhood / Girls in Pants (Sisterhood #1-3)|Ann Brashares|0385734247|4.02
Girls in Pants: The Third Summer of the Sisterhood (Sisterhood  #3)|Ann Brashares|0553375938|3.82
Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood  #4)|Ann Brashares|0385729367|3.81
The Second Summer of the Sisterhood (Sisterhood  #2)|Ann Brashares|0385731051|3.79
Junie B.  First Grader: Cheater Pants (Junie B. Jones  #21)|Barbara Park-Denise Brunkus|0375823026|4.03
Nineteen Eighty-Four|George Orwell-Thomas Pynchon|0452284236|4.17
Animal Farm / 1984|George Orwell-Christopher Hitchens|0151010269|4.28
1984|George Orwell-Walter Cronkite-Erich Fromm|0451519841|4.17
1984|George Orwell-Erich Fromm|0451516753|4.17
Nineteen Eighty-Four|George Orwell|1421808323|4.17
Brave New World / Brave New World Revisited|Aldous Huxley-Christopher Hitchens|0060776099|4.16
Brave New World and Brave New World Revisited|Aldous Huxley-Christopher Hitchens|0060535261|4.16
Brave New World Revisited|Aldous Huxley|0060898526|3.94
Brave New World|Aldous Huxley|0060850523|3.98
Andrew Carnegie|David Nasaw|1594201048|3.97
The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3)|Naguib Mahfouz|0375413316|4.46
Palace Walk|Naguib Mahfouz-William M. Hutchins-Olive E. Kenny-Naguib Mahfouz|0552995800|4.15
Children of the Alley|Naguib Mahfouz-Peter Theroux|0385264739|4.1
Sugar Street|Naguib Mahfouz-Naguib Mahfouz|0552995827|4.23
Palace of Desire|Naguib Mahfouz|0552995819|4.21
Akhenaten: Dweller in Truth|Naguib Mahfouz-Tagreid Abu-Hassabo|0385499094|3.81
Adrift on the Nile|Naguib Mahfouz-Frances Liardet|0385423330|3.82
Midaq Alley|Naguib Mahfouz-Trevor Le Gassick|0385264763|3.84
Arabian Nights and Days|Naguib Mahfouz-Denys Johnson-Davies|0385469012|4.11
The Harafish|Naguib Mahfouz-Catherine Cobham-Naguib Mahfouz|0385423357|4.35
The Day the Leader Was Killed|Naguib Mahfouz-Surgana-Naguib Mahfouz|0385499221|3.64
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family|Miep Gies-Alison Leslie Gold|0671662341|4.28
The Diary of Anne Frank: The Revised Critical Edition|Anne Frank-Gerrold van der Stroom-David Barnouw-Netherlands Institute For War Documentation-Arnold J. Pomerans-B.M. Mooyart-Doubleday-Susan Massotty|0385508476|4.13
The Diary of Anne Frank|Frances Goodrich-Albert Hackett-Wendy Kesselman|082221718X|4.04
Anne Frank: Life in Hiding|Johanna Hurwitz-Vera Rosenberry|0380732548|3.99
Cliffs Notes on Hansberry's A Raisin in the Sun|Rosetta James|0822011085|3.9
Dear John|Nicholas Sparks|0446528056|4.03
All the King's Men|Robert Penn Warren|0156004801|4.09
Cliffs notes on Warren's All the King's Men|L. David Allen|0822001462|3.4
All the King's Men: Three Stage Versions|Robert Penn Warren-James A. Perkins-James A. Grimshaw|0820320978|4.0
Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body|Ian King-Lou Schuler-Frederick Deluvier|1579547699|3.99
Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character|Richard Feynman|0393316041|4.28
The Feynman Lectures on Physics  3 Vols|Richard Feynman-Robert B. Leighton-Matthew L. Sands|0201500647|4.6
The Feynman Lectures on Physics|Richard Feynman-Robert B. Leighton-Matthew L. Sands|0805390456|4.6
What Do You Care What Other People Think?|Richard Feynman|0393320928|4.27
Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman|Richard Feynman-Michelle Feynman|0738206369|4.24
QED: The Strange Theory of Light and Matter|Richard Feynman|0691024170|4.24
Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher|Richard Feynman|0465023924|4.2
Kiffe Kiffe Demain (French Edition)|Faïza Guène|0785990232|3.38
iWoz|Steve Wozniak-Gina Smith|0393061434|3.86
Jack: Straight from the Gut|Jack Welch-John A. Byrne-Mike Barnicle|5559608475|3.81
Cradle to Cradle: Remaking the Way We Make Things|William McDonough-Michael Braungart|0865475873|4.11
Cradle and All|James Patterson|0446609404|3.86
The Creation of the American Republic  1776-1787|Gordon S. Wood|0807847232|4.12
Power  Faith  and Fantasy: America in the Middle East 1776 to the Present|Michael B. Oren|0393058263|3.98
From Counterculture to Cyberculture: Stewart Brand  the Whole Earth Network  and the Rise of Digital Utopianism|Fred Turner|0226817415|3.96
Problems of the Self: Philosophical Papers 1956 1972|Bernard Williams|0521290600|4.02
Moral Luck: Philosophical Papers 1973-1980|Bernard Williams|0521286913|4.1
Ethics and the Limits of Philosophy|Bernard Williams|067426858X|4.05
On Rhetoric and Language: Four Key Dialogues|Jean Nienkamp|1880393336|4.2
I Shouldn't Even Be Doing This!: And Other Things That Strike Me as Funny|Bob Newhart|1401302467|3.74
The Norton Anthology of Modern and Contemporary Poetry|Jahan Ramazani-Richard Ellmann-Robert O'Clair|039332429X|4.23
The Elephant War|Gillian Avery|1903252040|3.68
A Likely Lad|Gillian Avery|0370307127|4.08
The Wind in the Willows|Kenneth Grahame-Gillian Avery|0143039091|3.99
The Everyman Anthology of Poetry for Children|Gillian Avery-Everyman's Library-Thomas Benwick|0679436340|4.17
Holiday Romance and Other Writings for Children|Charles Dickens|0460876015|3.34
Ideas Have Consequences|Richard M. Weaver|0226876802|4.18
Manliness|Harvey Mansfield|0300106645|3.37
